date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:28	138/138	---MCZ	200	added ('OK')	text/plain	etag:W/%22645cca60-94%22	https://wintest.andrewstech.me/robots.txt		(from )
21:57:28	1503/1503	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20May%202023%2010:58:40%20GMT	https://wintest.andrewstech.me/	C:/Users/jchas/Downloads/windows%2011/wintest.andrewstech.me/index.html	(from )
21:57:28	15406/15406	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22645cca60-3c2e%22	https://wintest.andrewstech.me/favicon.ico	C:/Users/jchas/Downloads/windows%2011/wintest.andrewstech.me/favicon.ico	(from https://wintest.andrewstech.me/)
21:57:28	178058/178058	---M--	200	added ('OK')	text/javascript	etag:17420595874611506270	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/jchas/Downloads/windows%2011/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://wintest.andrewstech.me/)
21:57:29	14598/14598	---M--	200	added ('OK')	image/png	etag:%22645cca60-3906%22	https://wintest.andrewstech.me/favicon.png	C:/Users/jchas/Downloads/windows%2011/wintest.andrewstech.me/favicon.png	(from https://wintest.andrewstech.me/)
21:57:29	386/386	---M-Z	200	added ('OK')	application/json	etag:W/%22645cca60-182%22	https://wintest.andrewstech.me/manifest.json	C:/Users/jchas/Downloads/windows%2011/wintest.andrewstech.me/manifest.json	(from https://wintest.andrewstech.me/)
21:57:29	9879/9879	---M-Z	200	added ('OK')	text/css	etag:W/%22645cca60-2697%22	https://wintest.andrewstech.me/dycalendar.css	C:/Users/jchas/Downloads/windows%2011/wintest.andrewstech.me/dycalendar.css	(from https://wintest.andrewstech.me/)
21:57:29	2349847/2349847	---M-Z	200	added ('OK')	application/javascript	etag:W/%22645cca60-23db17%22	https://wintest.andrewstech.me/assets/index.c955ea3e.js	C:/Users/jchas/Downloads/windows%2011/wintest.andrewstech.me/assets/index.c955ea3e.js	(from https://wintest.andrewstech.me/)
21:57:29	98474/98474	---M-Z	200	added ('OK')	text/css	etag:W/%22645cca60-180aa%22	https://wintest.andrewstech.me/assets/index.e0498a50.css	C:/Users/jchas/Downloads/windows%2011/wintest.andrewstech.me/assets/index.e0498a50.css	(from https://wintest.andrewstech.me/)
21:57:30	142/142	---MCZ	200	added ('OK')	application/manifest+json	etag:W/%22645cca60-8e%22	https://wintest.andrewstech.me/manifest.webmanifest	C:/Users/jchas/Downloads/windows%2011/wintest.andrewstech.me/manifest.webmanifest	(from https://wintest.andrewstech.me/)
21:57:30	136/136	---MCZ	200	added ('OK')	application/javascript	etag:W/%22645cca60-88%22	https://wintest.andrewstech.me/registerSW.js	C:/Users/jchas/Downloads/windows%2011/wintest.andrewstech.me/registerSW.js	(from https://wintest.andrewstech.me/)
21:57:30	17011/17011	---M-Z	200	added ('OK')	application/javascript	etag:W/%22645cca60-4273%22	https://wintest.andrewstech.me/dycalendar.js	C:/Users/jchas/Downloads/windows%2011/wintest.andrewstech.me/dycalendar.js	(from https://wintest.andrewstech.me/)
21:57:30	223468/223468	---M-Z	200	added ('OK')	application/javascript	etag:W/%22645cca60-368ec%22	https://wintest.andrewstech.me/react-pwa.js	C:/Users/jchas/Downloads/windows%2011/wintest.andrewstech.me/react-pwa.js	(from https://wintest.andrewstech.me/)
21:57:31	21924/21924	---M--	200	added ('OK')	image/jpeg	etag:%22645cca60-55a4%22	https://wintest.andrewstech.me/assets/server.f30e785e.jpg	C:/Users/jchas/Downloads/windows%2011/wintest.andrewstech.me/assets/server.f30e785e.jpg	(from https://wintest.andrewstech.me/assets/index.e0498a50.css)
21:57:31	55532/55532	---M--	200	added ('OK')	font/woff2	etag:%22645cca60-d8ec%22	https://wintest.andrewstech.me/assets/spotify.2699cb74.woff2	C:/Users/jchas/Downloads/windows%2011/wintest.andrewstech.me/assets/spotify.2699cb74.woff2	(from https://wintest.andrewstech.me/assets/index.e0498a50.css)
21:57:31	188924/188924	---M-Z	200	added ('OK')	font/ttf	etag:W/%22645cca60-2e1fc%22	https://wintest.andrewstech.me/assets/spotify.e2d45b27.ttf	C:/Users/jchas/Downloads/windows%2011/wintest.andrewstech.me/assets/spotify.e2d45b27.ttf	(from https://wintest.andrewstech.me/assets/index.e0498a50.css)
21:57:31	62004/62004	---M--	200	added ('OK')	font/woff2	etag:%22645cca60-f234%22	https://wintest.andrewstech.me/assets/SettingsIcons.166d2107.woff2	C:/Users/jchas/Downloads/windows%2011/wintest.andrewstech.me/assets/SettingsIcons.166d2107.woff2	(from https://wintest.andrewstech.me/assets/index.e0498a50.css)
